gene,mean,variance,detected_fraction
PMEL,2.735630750656128,16.248498916625977,0.37244348762109797
HLA-DRA,3.078660488128662,16.227182388305664,0.43207750269106565
CD74,5.658754348754883,15.947004318237305,0.7586652314316469
CXCR4,4.617305755615234,15.628989219665527,0.6204520990312163
TMSB4X,7.679792404174805,15.607760429382324,0.8439181916038752
RGS1,3.848379373550415,14.401941299438477,0.5707212055974166
MIR4461,4.580282688140869,13.702144622802734,0.6292787944025834
CD63,3.898405075073242,13.495621681213379,0.5685683530678148
MT2A,3.3991637229919434,13.286715507507324,0.510010764262648
PTPRCAP,3.958667755126953,13.131194114685059,0.5733046286329386
IFITM1,4.518960952758789,13.09724235534668,0.6473627556512379
NKG7,2.2125537395477295,12.894087791442871,0.296232508073197
CD3D,3.09187388420105,12.864879608154297,0.44757804090419806
APOD,2.174975633621216,12.65190601348877,0.31733046286329386
SERPINE2,2.3332784175872803,12.638405799865723,0.35091496232508074
LGALS1,3.3428702354431152,12.563820838928223,0.5044133476856836
LGALS3,2.974815607070923,12.350875854492188,0.4529601722282024
CORO1A,3.925035238265991,12.2340087890625,0.6006458557588805
S100B,2.3470826148986816,12.226259231567383,0.3397201291711518
ARHGDIB,4.629088878631592,12.215590476989746,0.6757804090419807
HLA-DPA1,3.1783134937286377,12.06457805633545,0.5229278794402583
IL32,3.220374822616577,12.003334999084473,0.49860064585575886
FOS,5.136688232421875,11.986157417297363,0.7569429494079656
CD52,3.5283679962158203,11.619279861450195,0.5466092572658773
SRGN,3.8347861766815186,11.390626907348633,0.6299246501614639
LAPTM5,4.170767307281494,11.378266334533691,0.6480086114101185
CCL4,1.9028781652450562,11.368764877319336,0.27104413347685685
CD69,2.8459653854370117,11.308004379272461,0.47707212055974163
ANXA2,3.642998218536377,11.177033424377441,0.5836383207750269
S100A6,4.424785614013672,11.0028657913208,0.7031216361679224
VIM,5.775210380554199,10.998863220214844,0.8180839612486545
HSPA1A,2.883037567138672,10.973113059997559,0.5141011840688913
DUSP1,4.829642295837402,10.697336196899414,0.7808396124865447
HLA-DRB1,2.8312642574310303,10.66796588897705,0.48396124865446716
GSTP1,3.6292805671691895,10.598362922668457,0.5954790096878364
TIMP1,2.446812868118286,10.578014373779297,0.4015069967707212
ANXA5,3.581028461456299,10.384751319885254,0.6006458557588805
RAC2,3.566502094268799,10.338053703308105,0.5993541442411194
SDCBP,3.4636569023132324,10.297406196594238,0.608826695371367
CD2,2.6227924823760986,10.153037071228027,0.4421959095801938
IL2RG,3.077117681503296,10.13512897491455,0.5252960172228203
TYR,1.8861275911331177,10.09792423248291,0.29666307857911733
TSC22D3,4.77626895904541,10.0711669921875,0.7642626480086114
