cluster,gene,cells_in_cluster,mean_in_cluster,mean_outside_cluster,t_statistic,p_value,fdr,mean_log2_difference
0,HLA-DRA,556,9.658172,2.1840136,107.80002,2.2250738585072014e-308,8.865069990358508e-308,7.4741583
0,MS4A1,556,6.529073,0.28980246,84.96491,2.2250738585072014e-308,8.865069990358508e-308,6.2392707
0,CD79A,556,6.2117696,0.3232833,70.97281,2.2250738585072014e-308,8.865069990358508e-308,5.8884864
0,CD74,556,10.834307,4.9550147,90.99112,2.2250738585072014e-308,8.865069990358508e-308,5.879292
0,HLA-DPA1,556,7.956638,2.5285833,72.58867,2.2250738585072014e-308,8.865069990358508e-308,5.428055
0,CD79B,556,5.6676083,0.5861799,40.790695,2.2250738585072014e-308,8.865069990358508e-308,5.0814285
0,HLA-DRB1,556,7.0570636,2.256661,62.517387,2.2250738585072014e-308,8.865069990358508e-308,4.8004026
0,IRF8,556,5.357408,0.60922164,45.986523,2.2250738585072014e-308,8.865069990358508e-308,4.7481866
0,HLA-DQB1,556,5.807265,1.1216738,48.1325,2.2250738585072014e-308,8.865069990358508e-308,4.6855907
0,CD37,556,7.0914245,2.4404485,60.286484,2.2250738585072014e-308,8.865069990358508e-308,4.650976
1,NKG7,667,7.7571754,1.2828751,64.86504,2.2250738585072014e-308,1.6389568421199387e-307,6.4743004
1,CCL4,667,6.7572765,1.0889306,41.66657,2.2250738585072014e-308,1.6389568421199387e-307,5.668346
1,CST7,667,6.443508,1.2909682,54.672203,2.2250738585072014e-308,1.6389568421199387e-307,5.15254
1,GZMA,667,6.0343947,0.99133456,42.49282,2.2250738585072014e-308,1.6389568421199387e-307,5.0430603
1,CD8A,667,6.1292033,1.127772,43.057693,2.2250738585072014e-308,1.6389568421199387e-307,5.0014315
1,KLRK1,667,5.916629,1.1056011,46.707664,2.2250738585072014e-308,1.6389568421199387e-307,4.8110275
1,PRF1,667,5.4954834,0.99955916,37.1253,2.2250738585072014e-308,1.6389568421199387e-307,4.495924
1,CCL5,667,8.764962,4.484359,62.209064,2.2250738585072014e-308,1.6389568421199387e-307,4.2806034
1,GZMK,667,5.368839,1.1181241,30.92392,2.2250738585072014e-308,1.6389568421199387e-307,4.250715
1,RGS1,667,7.342127,3.262578,31.003212,2.2250738585072014e-308,1.6389568421199387e-307,4.079549
2,PMEL,230,7.145415,2.5059025,17.801798,2.2250738585072014e-308,9.940418716999628e-308,4.639512
2,LGALS3BP,230,6.6498365,2.159073,27.47964,2.2250738585072014e-308,9.940418716999628e-308,4.4907637
2,TYR,230,5.930605,1.6754308,23.288383,2.2250738585072014e-308,9.940418716999628e-308,4.255174
2,LMNA,230,6.0866494,1.98826,33.701347,2.2250738585072014e-308,9.940418716999628e-308,4.0983896
2,DCT,230,4.688079,0.64747787,20.03904,2.2250738585072014e-308,9.940418716999628e-308,4.040601
2,GPNMB,230,5.784151,1.7733531,22.416735,2.2250738585072014e-308,9.940418716999628e-308,4.010798
2,CD63,230,7.647974,3.7030725,32.90104,2.2250738585072014e-308,9.940418716999628e-308,3.9449015
2,S100B,230,5.9661736,2.1585457,21.285881,2.2250738585072014e-308,9.940418716999628e-308,3.807628
2,LGALS3,230,6.584177,2.7867846,17.388504,2.2250738585072014e-308,9.940418716999628e-308,3.7973924
2,SDCBP,230,7.061261,3.2762372,28.910065,2.2250738585072014e-308,9.940418716999628e-308,3.785024
3,SERPINA3,170,6.8660064,0.98960435,32.783546,2.2250738585072014e-308,8.772484402991839e-308,5.876402
3,SERPINE2,170,7.8968277,2.121923,61.48339,2.2250738585072014e-308,8.772484402991839e-308,5.7749047
3,MT2A,170,8.752638,3.1957927,58.511646,2.2250738585072014e-308,8.772484402991839e-308,5.556845
3,SPARC,170,6.917519,1.5368989,38.37802,2.2250738585072014e-308,8.772484402991839e-308,5.38062
3,FN1,170,6.276684,0.90371186,21.813585,2.2250738585072014e-308,8.772484402991839e-308,5.372972
3,TIMP1,170,7.613369,2.2505414,56.946316,2.2250738585072014e-308,8.772484402991839e-308,5.3628273
3,CST3,170,7.3112154,2.0748348,40.097095,2.2250738585072014e-308,8.772484402991839e-308,5.2363806
3,MIA,170,6.2181225,1.554996,26.515675,2.2250738585072014e-308,8.772484402991839e-308,4.6631265
3,MRPL36,170,5.4860663,0.90095896,32.56538,2.2250738585072014e-308,8.772484402991839e-308,4.5851073
3,PDCD6,170,6.8623075,2.27963,32.58455,2.2250738585072014e-308,8.772484402991839e-308,4.582678
4,PMEL,126,9.082186,2.5586746,48.15635,2.2250738585072014e-308,5.843237437123259e-308,6.523511
4,S100B,126,8.5949955,2.1728768,55.072758,2.2250738585072014e-308,5.843237437123259e-308,6.4221187
4,CAPG,126,7.6326203,1.4605529,57.786026,2.2250738585072014e-308,5.843237437123259e-308,6.1720676
4,LGALS1,126,9.308436,3.176537,76.71447,2.2250738585072014e-308,5.843237437123259e-308,6.1318994
4,APOD,126,8.1263685,2.0090342,43.018375,2.2250738585072014e-308,5.843237437123259e-308,6.1173344
4,SERPINE2,126,8.243975,2.168471,54.389275,2.2250738585072014e-308,5.843237437123259e-308,6.0755033
4,GPNMB,126,7.1158867,1.8285257,64.679756,2.2250738585072014e-308,5.843237437123259e-308,5.287361
4,MIA,126,6.736904,1.5859348,45.691914,2.2250738585072014e-308,5.843237437123259e-308,5.1509695
4,SPARC,126,6.629116,1.5973299,58.053413,2.2250738585072014e-308,5.843237437123259e-308,5.031786
4,AP1S2,126,7.0499277,2.038882,49.50904,2.2250738585072014e-308,5.843237437123259e-308,5.0110455
5,IL7R,927,4.669516,0.6235678,40.607124,2.2250738585072014e-308,5.843237437123259e-308,4.045948
5,CXCR4,927,7.634621,3.8650086,36.229122,2.2250738585072014e-308,5.843237437123259e-308,3.7696126
5,TMSB4X,927,10.090454,7.0787444,41.342163,2.2250738585072014e-308,5.843237437123259e-308,3.0117097
5,CD3D,927,5.5006213,2.4913068,25.701767,2.2250738585072014e-308,5.843237437123259e-308,3.0093145
5,ARHGDIB,927,6.7559156,4.098814,27.616592,2.2250738585072014e-308,5.843237437123259e-308,2.6571016
5,CD69,927,4.8552065,2.3450062,20.792185,2.2250738585072014e-308,5.843237437123259e-308,2.5102003
5,IL32,927,5.141797,2.7413125,21.06534,2.2250738585072014e-308,5.843237437123259e-308,2.4004846
5,CCR7,927,3.2011192,0.8530873,20.659107,2.2250738585072014e-308,5.843237437123259e-308,2.348032
5,PTPRC,927,5.6381,3.3165267,30.773996,2.2250738585072014e-308,5.843237437123259e-308,2.3215735
5,FYB,927,4.203258,1.9031049,30.868032,2.2250738585072014e-308,5.843237437123259e-308,2.3001533
6,CD3D,203,7.384387,2.8957052,42.798,2.2250738585072014e-308,5.014718696038618e-307,4.488682
6,IL32,203,7.062593,3.0447853,25.18052,2.2250738585072014e-308,5.014718696038618e-307,4.017808
6,CD2,203,6.3363137,2.4530814,27.738688,2.2250738585072014e-308,5.014718696038618e-307,3.8832324
6,ICOS,203,4.2689695,0.65142685,17.981771,2.2250738585072014e-308,5.014718696038618e-307,3.6175427
6,CD4,203,4.4600763,0.865845,19.392828,2.2250738585072014e-308,5.014718696038618e-307,3.5942314
6,SRGN,203,7.216021,3.6802626,29.726933,2.2250738585072014e-308,5.014718696038618e-307,3.5357585
6,TIGIT,203,4.7272863,1.325995,18.660381,2.2250738585072014e-308,5.014718696038618e-307,3.4012914
6,ITM2A,203,5.1527057,1.8169444,17.391476,2.2250738585072014e-308,5.014718696038618e-307,3.3357613
6,SPOCK2,203,4.1564527,1.1069654,23.255636,2.2250738585072014e-308,5.014718696038618e-307,3.049487
6,ARHGDIB,203,7.5385394,4.496121,30.183207,2.2250738585072014e-308,5.014718696038618e-307,3.0424185
7,HLA-DRA,207,6.7835326,2.905857,18.919529,2.2250738585072014e-308,1.2443931579058792e-306,3.8776755
7,CORO1A,207,6.9416885,3.7843294,23.345411,2.2250738585072014e-308,1.2443931579058792e-306,3.1573591
7,CD74,207,8.66188,5.5186763,24.581469,2.2250738585072014e-308,1.2443931579058792e-306,3.1432033
7,ARHGDIB,207,7.367549,4.5013576,30.264086,2.2250738585072014e-308,1.2443931579058792e-306,2.8661914
7,HLA-DPA1,207,5.8954954,3.0515776,17.50951,2.2250738585072014e-308,1.2443931579058792e-306,2.8439178
7,RAC2,207,6.2620974,3.440774,29.325508,2.2250738585072014e-308,1.2443931579058792e-306,2.8213234
7,LCP1,207,5.8248763,3.1096861,25.557447,2.2250738585072014e-308,1.2443931579058792e-306,2.7151902
7,UCP2,207,5.493836,2.7926836,20.308945,2.2250738585072014e-308,1.2443931579058792e-306,2.7011523
7,HLA-DRB1,207,5.3899364,2.7119207,17.088829,2.2250738585072014e-308,1.2443931579058792e-306,2.6780157
7,TUBB,207,5.999779,3.3605497,16.543537,2.2250738585072014e-308,1.2443931579058792e-306,2.6392295
8,TYROBP,164,8.357085,0.30991802,69.05039,2.2250738585072014e-308,3.775125310500982e-307,8.047167
8,FCER1G,164,8.072799,0.30931175,62.373642,2.2250738585072014e-308,3.775125310500982e-307,7.763487
8,IFI30,164,8.540541,0.91904587,53.385437,2.2250738585072014e-308,3.775125310500982e-307,7.621495
8,HLA-DRA,164,10.140598,2.8202024,50.362385,2.2250738585072014e-308,3.775125310500982e-307,7.320396
8,CST3,164,7.81834,2.063286,39.94325,2.2250738585072014e-308,3.775125310500982e-307,5.7550535
8,HLA-DRB1,164,8.349446,2.6293018,34.62098,2.2250738585072014e-308,3.775125310500982e-307,5.7201443
8,HLA-DPA1,164,8.40313,2.9870903,26.277773,2.2250738585072014e-308,3.775125310500982e-307,5.4160395
8,CD74,164,10.626744,5.4769278,34.152554,2.2250738585072014e-308,3.775125310500982e-307,5.1498165
8,HLA-DRB5,164,6.9483137,1.8498785,27.38148,2.2250738585072014e-308,3.775125310500982e-307,5.0984354
